Entity,Code,Year,Cumulative number of objects launched into outer space
United Kingdom,GBR,1988,19
United Kingdom,GBR,1989,21
United Kingdom,GBR,1990,26
United Kingdom,GBR,1991,27
United Kingdom,GBR,1994,29
United Kingdom,GBR,1998,30
United Kingdom,GBR,1999,32
United Kingdom,GBR,2000,36
United Kingdom,GBR,2001,37
United Kingdom,GBR,2003,38
United Kingdom,GBR,2005,41
United Kingdom,GBR,2007,43
United Kingdom,GBR,2008,46
United Kingdom,GBR,2009,49
United Kingdom,GBR,2010,52
United Kingdom,GBR,2011,54
United Kingdom,GBR,2012,58
United Kingdom,GBR,2013,65
United Kingdom,GBR,2014,75
United Kingdom,GBR,2015,82
United Kingdom,GBR,2016,83
United Kingdom,GBR,2017,90
United Kingdom,GBR,2018,102
United Kingdom,GBR,2019,116
United Kingdom,GBR,2020,220
United Kingdom,GBR,2021,509
United Kingdom,GBR,2022,621
United Kingdom,GBR,2023,766
United Kingdom,GBR,2024,793
United States,USA,1958,7
United States,USA,1959,18
United States,USA,1960,35
United States,USA,1961,66
United States,USA,1962,121
United States,USA,1963,175
United States,USA,1964,246
United States,USA,1965,340
United States,USA,1966,439
United States,USA,1967,524
United States,USA,1968,585
United States,USA,1969,647
United States,USA,1970,678
United States,USA,1971,724
United States,USA,1972,761
United States,USA,1973,789
United States,USA,1974,808
United States,USA,1975,838
United States,USA,1976,864
United States,USA,1977,888
United States,USA,1978,923
United States,USA,1979,942
United States,USA,1980,958
United States,USA,1981,978
United States,USA,1982,998
United States,USA,1983,1024
United States,USA,1984,1055
United States,USA,1985,1085
United States,USA,1986,1096
United States,USA,1987,1106
United States,USA,1988,1125
United States,USA,1989,1150
United States,USA,1990,1194
United States,USA,1991,1226
United States,USA,1992,1254
United States,USA,1993,1285
United States,USA,1994,1320
United States,USA,1995,1360
United States,USA,1996,1401
United States,USA,1997,1489
United States,USA,1998,1580
United States,USA,1999,1660
United States,USA,2000,1716
United States,USA,2001,1750
United States,USA,2002,1783
United States,USA,2003,1811
United States,USA,2004,1832
United States,USA,2005,1853
United States,USA,2006,1889
United States,USA,2007,1935
United States,USA,2008,1959
United States,USA,2009,1997
United States,USA,2010,2033
United States,USA,2011,2062
United States,USA,2012,2095
United States,USA,2013,2175
United States,USA,2014,2270
United States,USA,2015,2374
United States,USA,2016,2479
United States,USA,2017,2765
United States,USA,2018,2955
United States,USA,2019,3317
United States,USA,2020,4301
United States,USA,2021,5533
United States,USA,2022,7472
United States,USA,2023,9706
United States,USA,2024,11969
Uruguay,URY,2014,1
Uruguay,URY,2016,3
Uruguay,URY,2017,4
Uruguay,URY,2018,6
Uruguay,URY,2020,19
Uruguay,URY,2021,23
Uruguay,URY,2022,32
Uruguay,URY,2023,45
Uruguay,URY,2024,49
Venezuela,VEN,2008,2
Venezuela,VEN,2012,3
Venezuela,VEN,2017,4
Vietnam,VNM,2008,1
Vietnam,VNM,2012,3
Vietnam,VNM,2013,5
Vietnam,VNM,2019,6
World,OWID_WRL,1957,2
World,OWID_WRL,1958,10
World,OWID_WRL,1959,24
World,OWID_WRL,1960,44
World,OWID_WRL,1961,82
World,OWID_WRL,1962,159
World,OWID_WRL,1963,230
World,OWID_WRL,1964,337
World,OWID_WRL,1965,498
World,OWID_WRL,1966,643
World,OWID_WRL,1967,802
World,OWID_WRL,1968,942
World,OWID_WRL,1969,1080
World,OWID_WRL,1970,1210
World,OWID_WRL,1971,1366
World,OWID_WRL,1972,1499
World,OWID_WRL,1973,1637
World,OWID_WRL,1974,1765
World,OWID_WRL,1975,1923
World,OWID_WRL,1976,2081
World,OWID_WRL,1977,2218
World,OWID_WRL,1978,2383
World,OWID_WRL,1979,2507
World,OWID_WRL,1980,2637
World,OWID_WRL,1981,2795
World,OWID_WRL,1982,2940
World,OWID_WRL,1983,3094
World,OWID_WRL,1984,3257
World,OWID_WRL,1985,3422
World,OWID_WRL,1986,3556
World,OWID_WRL,1987,3691
World,OWID_WRL,1988,3836
World,OWID_WRL,1989,3975
World,OWID_WRL,1990,4145
World,OWID_WRL,1991,4282
World,OWID_WRL,1992,4412
World,OWID_WRL,1993,4520
World,OWID_WRL,1994,4643
World,OWID_WRL,1995,4748
World,OWID_WRL,1996,4848
World,OWID_WRL,1997,5000
World,OWID_WRL,1998,5157
World,OWID_WRL,1999,5286
World,OWID_WRL,2000,5407
World,OWID_WRL,2001,5493
World,OWID_WRL,2002,5589
World,OWID_WRL,2003,5677
World,OWID_WRL,2004,5751
World,OWID_WRL,2005,5823
World,OWID_WRL,2006,5918
World,OWID_WRL,2007,6029
World,OWID_WRL,2008,6138
World,OWID_WRL,2009,6263
World,OWID_WRL,2010,6384
World,OWID_WRL,2011,6513
World,OWID_WRL,2012,6647
World,OWID_WRL,2013,6857
World,OWID_WRL,2014,7098
World,OWID_WRL,2015,7320
World,OWID_WRL,2016,7541
World,OWID_WRL,2017,7997
World,OWID_WRL,2018,8449
World,OWID_WRL,2019,9035
World,OWID_WRL,2020,10309
World,OWID_WRL,2021,12123
World,OWID_WRL,2022,14600
World,OWID_WRL,2023,17495
World,OWID_WRL,2024,20344
Zimbabwe,ZWE,2022,1
Zimbabwe,ZWE,2024,2
